symbol,entry_time,exit_time,entry_price,exit_price,type,pnl,status,outcome,confidence,regime
BTC-USD,2025-12-15 12:00:00,2025-12-15 16:00:00,89596.45936,87682.29332468296,short,1.9385668753421452,closed,TAKE_PROFIT,0.6596402525901794,Chaotic
BTC-USD,2025-12-15 16:00:00,2025-12-17 12:00:00,86989.70339,88746.21179173865,short,-2.221233366272768,closed,STOP_LOSS,0.6582055687904358,Chaotic
BTC-USD,2025-12-17 12:00:00,2025-12-18 12:00:00,86939.76836999999,88719.99151918237,short,-2.249698780824529,closed,STOP_LOSS,0.5573434829711914,Chaotic
BTC-USD,2025-12-18 12:00:00,2025-12-18 16:00:00,87257.08963,84814.04109492128,short,2.6026279514748,closed,TAKE_PROFIT,0.5817124247550964,Chaotic
BTC-USD,2025-12-18 16:00:00,2025-12-18 20:00:00,88469.18328,85866.09815956975,short,2.7453060477610816,closed,TAKE_PROFIT,0.5857324004173279,Chaotic
BTC-USD,2025-12-18 20:00:00,2025-12-19 00:00:00,84441.548105,86761.64949601392,short,-2.9503303107578005,closed,STOP_LOSS,0.5935819149017334,Chaotic
BTC-USD,2025-12-19 00:00:00,2025-12-19 04:00:00,85473.651795,87780.05346058436,short,-2.901075733592322,closed,STOP_LOSS,0.6092351675033569,Chaotic
BTC-USD,2025-12-19 04:00:00,2025-12-19 12:00:00,86847.944305,89256.78214197118,short,-2.976400401994705,closed,STOP_LOSS,0.5987558364868164,Chaotic
BTC-USD,2025-12-19 12:00:00,2025-12-22 12:00:00,88154.60065,90486.31814792413,short,-2.8476771469806024,closed,STOP_LOSS,0.5889027118682861,Chaotic
BTC-USD,2025-12-22 12:00:00,2025-12-22 20:00:00,89900.457285,87948.39235214159,short,1.9735339917089607,closed,TAKE_PROFIT,0.6851651668548584,Chaotic
BTC-USD,2025-12-22 20:00:00,2025-12-29 00:00:00,88008.40378499999,89713.9139636023,short,-2.1398325788882135,closed,STOP_LOSS,0.7106916904449463,Chaotic
BTC-USD,2025-12-29 00:00:00,2025-12-29 04:00:00,87908.733645,88884.72565145425,short,-1.3113435013248818,closed,STOP_LOSS,0.6147517561912537,Chaotic
BTC-USD,2025-12-29 04:00:00,2025-12-29 08:00:00,90078.48822500001,88633.07014581855,short,1.406225332786039,closed,TAKE_PROFIT,0.5967748761177063,Chaotic
BTC-USD,2025-12-29 08:00:00,2025-12-29 12:00:00,89572.90114500001,88105.25727826008,short,1.4401294273459853,closed,TAKE_PROFIT,0.593183696269989,Chaotic
