symbol,entry_time,exit_time,entry_price,exit_price,type,pnl,status,outcome,confidence,regime
ETH-USD,2026-01-07 12:00:00,2026-01-08 04:00:00,3218.62988,3121.4241743321195,short,2.823115890962534,closed,TAKE_PROFIT,0.6635655164718628,Chaotic
ETH-USD,2026-01-08 04:00:00,2026-01-13 20:00:00,3141.30856,3221.0412569678065,short,-2.7407382987163267,closed,STOP_LOSS,0.6277115345001221,Chaotic
ETH-USD,2026-01-13 20:00:00,2026-01-14 00:00:00,3214.29205,3276.6323368836515,short,-2.1414112407904926,closed,STOP_LOSS,0.775457501411438,Chaotic
ETH-USD,2026-01-14 00:00:00,2026-01-14 16:00:00,3324.15709,3401.2032413919624,short,-2.5200828196526106,closed,STOP_LOSS,0.7761129140853882,Chaotic
ETH-USD,2026-01-14 16:00:00,2026-01-19 00:00:00,3344.137095,3241.345751686942,short,2.876851568382576,closed,TAKE_PROFIT,0.7057793140411377,Chaotic
ETH-USD,2026-01-19 00:00:00,2026-01-19 04:00:00,3282.3879850000003,3206.9833993461534,short,2.0995450441700516,closed,TAKE_PROFIT,0.6476417779922485,Chaotic
ETH-USD,2026-01-19 04:00:00,2026-01-20 04:00:00,3210.6838549999998,3125.4752993928564,short,2.4565606585625823,closed,TAKE_PROFIT,0.6710370779037476,Chaotic
ETH-USD,2026-01-20 04:00:00,2026-01-20 08:00:00,3187.0756650000003,3108.7828956069984,short,2.2590273467007536,closed,TAKE_PROFIT,0.759943962097168,Chaotic
ETH-USD,2026-01-20 08:00:00,2026-01-20 12:00:00,3121.8083149999998,3037.780545920784,short,2.4943293233010406,closed,TAKE_PROFIT,0.7495591640472412,Chaotic
ETH-USD,2026-01-20 12:00:00,2026-01-20 16:00:00,3108.32506,3024.8797926407283,short,2.4872579609363994,closed,TAKE_PROFIT,0.7396334409713745,Chaotic
ETH-USD,2026-01-20 16:00:00,2026-01-20 20:00:00,3031.473505,2936.9655217378186,short,2.920676828921965,closed,TAKE_PROFIT,0.7289860248565674,Chaotic
ETH-USD,2026-01-20 20:00:00,2026-01-21 16:00:00,2994.9917549999996,2898.351555899403,short,3.029953442716473,closed,TAKE_PROFIT,0.7200632095336914,Chaotic
ETH-USD,2026-01-21 16:00:00,2026-01-25 16:00:00,3001.188655,2891.3399170631233,short,3.4638345440771214,closed,TAKE_PROFIT,0.6657817959785461,Chaotic
ETH-USD,2026-01-25 16:00:00,2026-01-25 20:00:00,2925.346595,2851.6707432705093,short,2.3210526406434293,closed,TAKE_PROFIT,0.5429749488830566,Chaotic
ETH-USD,2026-01-25 20:00:00,2026-01-26 00:00:00,2811.55352,2879.279839508038,short,-2.611266417135328,closed,STOP_LOSS,0.5654006004333496,Chaotic
ETH-USD,2026-01-26 00:00:00,2026-01-26 04:00:00,2815.481555,2882.6212795431784,short,-2.5870468676439873,closed,STOP_LOSS,0.6005265116691589,Chaotic
ETH-USD,2026-01-26 04:00:00,2026-01-26 08:00:00,2849.25466,2920.9722595758085,short,-2.7195823379081268,closed,STOP_LOSS,0.617231011390686,Chaotic
ETH-USD,2026-01-26 08:00:00,2026-01-27 16:00:00,2902.8678400000003,2976.2020981775368,short,-2.728795538818396,closed,STOP_LOSS,0.6381164789199829,Chaotic
ETH-USD,2026-01-27 16:00:00,2026-01-27 20:00:00,2935.9812749999996,3006.905968468697,short,-2.6181223077509674,closed,STOP_LOSS,0.6781642436981201,Chaotic
