timestamp,asset,direction,confidence,pct_change,strategy_type,stop_loss,take_profit
2025-05-23 16:28:04.720985,BTC-USD,long,92.30%,0.59%,scalp,SL:106998.21,TP:111886.45
2025-05-23 16:28:20.401223,ETH-USD,short,99.00%,-0.90%,swing,SL:2612.2,TP:2435.5
2025-05-23 16:33:44.147775,BTC-USD,long,92.03%,0.90%,scalp,SL:107325.23,TP:112228.41
2025-05-23 16:33:59.873127,ETH-USD,short,99.00%,-1.47%,swing,SL:2627.62,TP:2450.92
2025-05-23 16:39:23.583653,BTC-USD,long,92.18%,0.83%,scalp,SL:107258.27,TP:112158.39
2025-05-23 16:39:39.269137,ETH-USD,short,99.00%,-1.47%,swing,SL:2624.97,TP:2448.27
2025-05-23 16:45:03.125518,BTC-USD,long,92.03%,0.59%,scalp,SL:106991.66,TP:111879.6
2025-05-23 16:45:18.825150,ETH-USD,short,99.00%,-1.03%,swing,SL:2616.28,TP:2439.58
2025-05-23 16:50:42.605347,BTC-USD,long,92.02%,0.84%,scalp,SL:107257.81,TP:112157.92
2025-05-23 16:50:58.267585,ETH-USD,short,99.00%,-1.40%,swing,SL:2623.62,TP:2446.92
2025-05-23 16:56:22.047483,BTC-USD,long,92.36%,0.80%,scalp,SL:107223.41,TP:112121.94
2025-05-23 16:56:37.733563,ETH-USD,short,99.00%,-1.32%,swing,SL:2622.96,TP:2446.26
2025-05-23 17:02:01.555147,BTC-USD,long,91.61%,1.13%,scalp,SL:107558.82,TP:112472.67
2025-05-23 17:02:17.274873,ETH-USD,short,99.00%,-1.53%,swing,SL:2625.89,TP:2457.59
2025-05-23 17:07:41.117992,BTC-USD,long,92.68%,1.26%,scalp,SL:107751.8,TP:112674.47
2025-05-23 17:07:56.845904,ETH-USD,short,99.00%,-1.84%,swing,SL:2634.21,TP:2462.62
2025-05-26 13:23:50.553686,BTC-USD,long,91.08%,1.43%,scalp,SL:108098.8,TP:113037.32
2025-05-26 13:24:07.039296,ETH-USD,short,99.00%,-1.11%,swing,SL:2603.71,TP:2488.27
2025-05-26 13:29:31.191017,BTC-USD,long,90.27%,1.54%,scalp,SL:108174.41,TP:113116.39
2025-05-26 13:29:46.906318,ETH-USD,short,99.00%,-1.01%,swing,SL:2599.79,TP:2484.53
2025-05-26 13:35:10.973589,BTC-USD,long,90.96%,1.62%,scalp,SL:108323.08,TP:113271.85
2025-05-26 13:35:26.726164,ETH-USD,short,99.00%,-1.16%,swing,SL:2602.14,TP:2486.77
2025-05-26 13:40:50.716214,BTC-USD,long,90.51%,1.59%,scalp,SL:108252.03,TP:113197.56
2025-05-26 13:41:06.541159,ETH-USD,short,99.00%,-1.07%,swing,SL:2601.53,TP:2486.19
2025-05-26 13:46:30.468342,BTC-USD,long,91.16%,1.58%,scalp,SL:108252.7,TP:113198.26
2025-05-26 13:46:46.228745,ETH-USD,short,99.00%,-1.08%,swing,SL:2601.74,TP:2486.39
2025-05-27 10:21:55.709583,BTC-USD,long,91.10%,1.49%,scalp,SL:108192.67,TP:113135.48
2025-05-27 10:22:12.801087,ETH-USD,short,99.00%,-3.59%,swing,SL:2671.94,TP:2553.48
